Gene	beta	fdr	dataset	hit_class	direction	unique_hit
SNAPC4	-0.64464	0.071429	top3	all	DOWN	0
SNRNP25	-0.67494	0.026316	top3	all	DOWN	0
SSBP1	0.51965	0.076923	top3	all	UP	0
TAF1B	-0.70194	0.026316	top3	all	DOWN	0
TAF7	0.50781	0.076923	top3	top3	UP	1
TARDBP	0.87612	0	top3	all	UP	0
THAP5	0.49634	0.076923	top3	top3	UP	1
TIMELESS	-0.48742	0.076923	top3	top3	DOWN	1
TMEM165	-0.46841	0.076923	top3	all	DOWN	0
TOP3A	-0.66275	0.068182	top3	all	DOWN	0
TRMT112	-0.72057	0.026316	top3	all	DOWN	0
TSC1	-0.47056	0.076923	top3	all	DOWN	0
TSC2	-0.82077	0.026316	top3	all	DOWN	0
UGP2	-0.77606	0.026316	top3	all	DOWN	0
USP1	-0.5377	0.071429	top3	top3	DOWN	1
UXT	0.4968	0.076923	top3	other	UP	0
VPS35	0.54985	0.075269	top3	all	UP	0
VPS4A	-0.44146	0.097902	top3	all	DOWN	0
VPS51	0.46425	0.097902	top3	top3	UP	1
WDR5	0.61635	0.071429	top3	other	UP	0
WDR55	-0.57311	0.071429	top3	other	DOWN	0
XPO1	0.53308	0.076923	top3	other	UP	0
XRCC6	-0.47974	0.076923	top3	top3	DOWN	1
YPEL1	-0.57074	0.071429	top3	top3	DOWN	1
YRDC	0.46339	0.097902	top3	top3	UP	1
ZCRB1	-0.45004	0.093525	top3	top3	DOWN	1
ZNF83	-0.50533	0.076923	top3	top3	DOWN	1
ABCB7	-0.50116	0	top4	other	DOWN	0
ABL1	-1.0791	0	top4	all	DOWN	0
AK6	-0.59551	0	top4	all	DOWN	0
ALG2	0.55578	0.026316	top4	all	UP	0
ANKIB1	-0.39019	0.07874	top4	other	DOWN	0
ANKLE2	-0.46358	0.018182	top4	top4	DOWN	1
ATP5D	0.50302	0.026316	top4	all	UP	0
ATP5J2	-0.4593	0.026316	top4	other	DOWN	0
ATXN7L3	-0.35885	0.096154	top4	other	DOWN	0
AURKB	0.42329	0.051546	top4	all	UP	0
B4GALT5	-0.3599	0.096154	top4	top4	DOWN	1
BCAP29	-0.4195	0.055556	top4	other	DOWN	0
BCAS2	0.39921	0.076923	top4	other	UP	0
C14orf28	-0.40376	0.070796	top4	other	DOWN	0
C8orf59	0.65483	0.036585	top4	all	UP	0
CCNB1	-0.36143	0.096154	top4	other	DOWN	0
