Gene	beta	fdr	dataset	hit_class	direction	unique_hit
TSC2	-0.74284	0	top5	all	DOWN	0
TSTA3	0.31344	0.093333	top5	other	UP	0
TTC14	-0.3804	0.040404	top5	other	DOWN	0
TUBB	-0.42121	0.028571	top5	other	DOWN	0
TUFM	0.42765	0.033333	top5	other	UP	0
TWISTNB	0.3145	0.093333	top5	top5	UP	1
UBE2I	-0.32494	0.093333	top5	top5	DOWN	1
UGP2	-0.52927	0.020833	top5	all	DOWN	0
UPF2	-0.37818	0.040404	top5	top5	DOWN	1
USP48	0.36277	0.053846	top5	top5	UP	1
USP7	-0.43954	0.028571	top5	other	DOWN	0
UXT	0.31576	0.093333	top5	other	UP	0
VPS35	0.37507	0.052174	top5	all	UP	0
VPS4A	-0.3073	0.093333	top5	all	DOWN	0
VPS53	0.317	0.093333	top5	top5	UP	1
WDR5	0.43763	0.033333	top5	other	UP	0
XPO1	0.60779	0	top5	other	UP	0
XRCC3	0.32816	0.093333	top5	other	UP	0
YARS	0.31034	0.093333	top5	top5	UP	1
ZMYND8	0.35705	0.053846	top5	other	UP	0
ZNHIT2	0.30761	0.093333	top5	top5	UP	1
