Gene	hit_class	direction
NAMPT	top5	DOWN
NCLN	top3	DOWN
NDUFB1	top4	DOWN
NDUFB6	top3	DOWN
NUTF2	top5	DOWN
NXT1	top5	DOWN
ORAOV1	top5	DOWN
PAK1IP1	top5	DOWN
PAXIP1	top5	DOWN
PCNA	top3	DOWN
PDCD11	top5	DOWN
PEX2	top5	DOWN
POLR2A	top4	DOWN
POLR2C	top4	DOWN
POP5	top5	DOWN
PSMA4	top4	DOWN
PTAR1	top5	DOWN
PTBP1	top5	DOWN
RCC1	top4	DOWN
REXO2	top3	DOWN
RPL13	top5	DOWN
RPL19	top3	DOWN
RPS18	top3	DOWN
RPS21	top3	DOWN
RPS29	top4	DOWN
RPS3	top4	DOWN
RUVBL1	top5	DOWN
SCAP	top3	DOWN
SDE2	top3	DOWN
SMC1A	top5	DOWN
SMG6	top5	DOWN
SNRPA1	top4	DOWN
SUPV3L1	top5	DOWN
THOC1	top5	DOWN
TIMELESS	top3	DOWN
UBE2I	top5	DOWN
UPF2	top5	DOWN
USP1	top3	DOWN
XRCC6	top3	DOWN
YPEL1	top3	DOWN
ZCRB1	top3	DOWN
ZNF83	top3	DOWN
