Gene	top3	top4	top5	hit_count	hit_class	direction
PPAN	1	1	1	3	all	DOWN
PREB	1	1	1	3	all	DOWN
PRPF4	1	1	1	3	all	DOWN
PSMA3	1	1	1	3	all	DOWN
PSMB6	1	1	1	3	all	DOWN
PVRL2	1	1	1	3	all	DOWN
RABGGTB	1	1	1	3	all	DOWN
RAN	1	1	1	3	all	DOWN
RBM39	1	1	1	3	all	DOWN
RNMT	1	1	1	3	all	DOWN
SLC35A2	1	1	1	3	all	DOWN
SLMO2	1	1	1	3	all	DOWN
SMDT1	1	1	1	3	all	DOWN
SNAPC4	1	1	1	3	all	DOWN
SNRNP25	1	1	1	3	all	DOWN
TAF1B	1	1	1	3	all	DOWN
TMEM165	1	1	1	3	all	DOWN
TOP3A	1	1	1	3	all	DOWN
TRMT112	1	1	1	3	all	DOWN
TSC1	1	1	1	3	all	DOWN
TSC2	1	1	1	3	all	DOWN
UGP2	1	1	1	3	all	DOWN
VPS4A	1	1	1	3	all	DOWN
ABCB7	0	1	1	2	other	DOWN
ANKIB1	0	1	1	2	other	DOWN
ATP5J2	1	1	0	2	other	DOWN
ATXN7L3	0	1	1	2	other	DOWN
BCAP29	0	1	1	2	other	DOWN
C14orf28	1	1	0	2	other	DOWN
CCNB1	0	1	1	2	other	DOWN
CDK8	1	0	1	2	other	DOWN
CINP	0	1	1	2	other	DOWN
CLTC	0	1	1	2	other	DOWN
CMAS	0	1	1	2	other	DOWN
DCP2	0	1	1	2	other	DOWN
DENR	0	1	1	2	other	DOWN
DHFR	1	1	0	2	other	DOWN
DKC1	0	1	1	2	other	DOWN
EIF4A3	0	1	1	2	other	DOWN
FAM133A	1	1	0	2	other	DOWN
FLCN	0	1	1	2	other	DOWN
HGS	0	1	1	2	other	DOWN
HNRNPH1	0	1	1	2	other	DOWN
MRPL42	0	1	1	2	other	DOWN
MRPL45	1	1	0	2	other	DOWN
MRPS27	0	1	1	2	other	DOWN
MRPS28	0	1	1	2	other	DOWN
NUP214	0	1	1	2	other	DOWN
OGT	1	1	0	2	other	DOWN
POLR2J3	1	0	1	2	other	DOWN
POP7	1	1	0	2	other	DOWN
RAD21	1	1	0	2	other	DOWN
RPL28	1	0	1	2	other	DOWN
RPL36	1	0	1	2	other	DOWN
RPS13	0	1	1	2	other	DOWN
RPS14	0	1	1	2	other	DOWN
RPSA	1	1	0	2	other	DOWN
RRAGC	1	1	0	2	other	DOWN
RTDR1	0	1	1	2	other	DOWN
SRCAP	0	1	1	2	other	DOWN
TAF6L	0	1	1	2	other	DOWN
TIPRL	0	1	1	2	other	DOWN
TTC14	0	1	1	2	other	DOWN
TUBB	0	1	1	2	other	DOWN
USP7	0	1	1	2	other	DOWN
WDR55	1	1	0	2	other	DOWN
ABCF1	0	0	1	1	top5	DOWN
ANKLE2	0	1	0	1	top4	DOWN
ARL1	0	0	1	1	top5	DOWN
ATP6V0C	0	0	1	1	top5	DOWN
B4GALT5	0	1	0	1	top4	DOWN
BCOR	0	0	1	1	top5	DOWN
BEND3	0	0	1	1	top5	DOWN
